曲名,类别,难度,等级,定数,达成率,DX分数, DX Rating
ENJOY POLIS,SD,Expert,10+,10.7,0,0,0
ENJOY POLIS,SD,Master,12+,12.9,0,0,0
生きてるおばけは生きている,SD,Basic,5,5,0,0,0
生きてるおばけは生きている,SD,Advanced,7,7.3,0,0,0
生きてるおばけは生きている,SD,Expert,11,11,0,0,0
生きてるおばけは生きている,SD,Master,13,13.3,0,0,0
天火明命,SD,Basic,6,6,0,0,0
天火明命,SD,Advanced,9+,9.7,0,0,0
HERA,SD,Basic,6,6,0,0,0
HERA,SD,Advanced,9,9.3,0,0,0
分からない,SD,Basic,4,4,0,0,0
分からない,SD,Advanced,8,8.5,0,0,0
Our Wrenally,SD,Basic,6,6,0,0,0
Our Wrenally,SD,Advanced,9+,9.8,0,0,0
Scream out! -maimai SONIC WASHER Edit-,SD,Basic,5,5,0,0,0
Scream out! -maimai SONIC WASHER Edit-,SD,Advanced,8,8.6,0,0,0
四月の雨,SD,Basic,3,3,0,0,0
四月の雨,SD,Advanced,8,8.6,0,0,0
Selector,SD,Basic,5,5,0,0,0
Selector,SD,Advanced,7+,7.8,0,0,0
ドキドキDREAM!!!,SD,Basic,5,5,0,0,0
ドキドキDREAM!!!,SD,Advanced,8+,8.7,0,0,0
ドキドキDREAM!!!,SD,Expert,11+,11.7,0,0,0
ポップミュージックは僕のもの,SD,Basic,4,4,0,0,0
ポップミュージックは僕のもの,SD,Advanced,7,7,0,0,0
ポップミュージックは僕のもの,SD,Expert,9+,9.9,0,0,0
吉原ラメント,SD,Basic,4,4,0,0,0
吉原ラメント,SD,Advanced,8,8.5,0,0,0
吉原ラメント,SD,Expert,11+,11.8,0,0,0
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,SD,Basic,6,6,0,0,0
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,SD,Advanced,9,9.3,0,0,0
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,SD,Master,14,14.5,0,0,0
幽闇に目醒めしは,SD,Basic,4,4,0,0,0
幽闇に目醒めしは,SD,Advanced,6,6.8,0,0,0
幽闇に目醒めしは,SD,Expert,11,11.2,0,0,0
幽闇に目醒めしは,SD,Master,13,13.3,0,0,0
Starlight Vision,SD,Basic,3,3,0,0,0
Starlight Vision,SD,Advanced,7+,7.8,0,0,0
Starlight Vision,SD,Expert,11,11.6,0,0,0
Starlight Vision,SD,Master,12+,12.7,0,0,0
Club Ibuki in Break All,SD,Basic,5,5,0,0,0
Club Ibuki in Break All,SD,Advanced,8,8.3,0,0,0
Club Ibuki in Break All,SD,Expert,11,11.2,0,0,0
Club Ibuki in Break All,SD,Master,13,13.3,0,0,0
Phantasm Brigade,SD,Basic,5,5,0,0,0
Phantasm Brigade,SD,Advanced,8,8.2,0,0,0
Phantasm Brigade,SD,Expert,11+,11.7,0,0,0
永遠のメロディ,SD,Basic,6,6,0,0,0
永遠のメロディ,SD,Advanced,7,7.3,0,0,0
永遠のメロディ,SD,Expert,10,10.6,0,0,0
白ゆき,SD,Basic,5,5,0,0,0
白ゆき,SD,Advanced,8,8.2,0,0,0
白ゆき,SD,Expert,11+,11.7,0,0,0
Panopticon,SD,Basic,5,5,0,0,0
Panopticon,SD,Advanced,9,9.5,0,0,0
Panopticon,SD,Expert,12+,12.9,0,0,0
Panopticon,SD,Master,14,14.2,0,0,0
Panopticon,SD,Re:MASTER,14,14.1,0,0,0
Sakura Fubuki,SD,Basic,5,5,0,0,0
Sakura Fubuki,SD,Advanced,8,8.3,0,0,0
conflict,SD,Basic,5,5,0,0,0
conflict,SD,Advanced,8,8,0,0,0
conflict,SD,Expert,12+,12.7,0,0,0
すーぱーぬこになりたい,SD,Basic,6,6,0,0,0
すーぱーぬこになりたい,SD,Advanced,8,8.3,0,0,0
すーぱーぬこになりたい,SD,Expert,10+,10.8,0,0,0
踊れオーケストラ,SD,Basic,5,5,0,0,0
踊れオーケストラ,SD,Advanced,7,7.2,0,0,0
踊れオーケストラ,SD,Expert,9+,9.9,0,0,0
きらっせ☆ウッド村ファーム,SD,Basic,6,6,0,0,0
きらっせ☆ウッド村ファーム,SD,Advanced,8,8.1,0,0,0
きらっせ☆ウッド村ファーム,SD,Expert,10,10.1,0,0,0
きらっせ☆ウッド村ファーム,SD,Master,12+,12.7,0,0,0
taboo tears you up,SD,Basic,6,6,0,0,0
taboo tears you up,SD,Advanced,8,8.2,0,0,0
その群青が愛しかったようだった,SD,Basic,5,5,0,0,0
その群青が愛しかったようだった,SD,Advanced,7+,7.8,0,0,0
その群青が愛しかったようだった,SD,Expert,11,11,0,0,0
The wheel to the right,SD,Basic,7,7,0,0,0
The wheel to the right,SD,Advanced,8+,8.9,0,0,0
リンカーネイション,SD,Basic,5,5,0,0,0
リンカーネイション,SD,Advanced,8,8.2,0,0,0
リンカーネイション,SD,Expert,11,11.3,0,0,0
リンカーネイション,SD,Master,13+,13.7,0,0,0
宿題が終わらないっ！,SD,Basic,5,5,0,0,0
宿題が終わらないっ！,SD,Advanced,7,7.6,0,0,0
宿題が終わらないっ！,SD,Expert,10,10.6,0,0,0
宿題が終わらないっ！,SD,Master,12+,12.9,0,0,0
GO BACK 2 YOUR RAVE,SD,Basic,5,5,0,0,0
GO BACK 2 YOUR RAVE,SD,Advanced,8,8.5,0,0,0
GO BACK 2 YOUR RAVE,SD,Master,14,14,0,0,0
天国と地獄 -言ノ葉リンネ-,SD,Basic,4,4,0,0,0
天国と地獄 -言ノ葉リンネ-,SD,Advanced,7,7.6,0,0,0
天国と地獄 -言ノ葉リンネ-,SD,Expert,11+,11.7,0,0,0
天国と地獄 -言ノ葉リンネ-,SD,Master,13,13.3,0,0,0
夢花火,SD,Basic,6,6,0,0,0
夢花火,SD,Advanced,8,8.5,0,0,0
オトヒメモリー☆ウタゲーション,SD,Basic,5,5,0,0,0
オトヒメモリー☆ウタゲーション,SD,Advanced,7+,7.8,0,0,0
オトヒメモリー☆ウタゲーション,SD,Expert,11+,11.7,0,0,0
オトヒメモリー☆ウタゲーション,SD,Master,12+,12.9,0,0,0
ラブチーノ,SD,Basic,4,4,0,0,0
ラブチーノ,SD,Advanced,7,7.3,0,0,0
ラブチーノ,SD,Expert,9+,9.9,0,0,0
ラブチーノ,SD,Master,11+,11.9,0,0,0
ARROW,SD,Basic,4,4,0,0,0
ARROW,SD,Advanced,7,7.6,0,0,0
バッド・ダンス・ホール,SD,Basic,5,5,0,0,0
バッド・ダンス・ホール,SD,Advanced,7,7.5,0,0,0
バッド・ダンス・ホール,SD,Expert,11,11.6,0,0,0
バッド・ダンス・ホール,SD,Master,13,13.4,0,0,0
KISS CANDY FLAVOR,SD,Basic,4,4,0,0,0
KISS CANDY FLAVOR,SD,Advanced,8,8.3,0,0,0
KISS CANDY FLAVOR,SD,Expert,11,11.3,0,0,0
Maxi,SD,Basic,6,6,0,0,0
Maxi,SD,Advanced,9,9.3,0,0,0
Maxi,SD,Expert,12+,12.8,0,0,0
相思創愛,SD,Basic,6,6,0,0,0
相思創愛,SD,Advanced,8,8.6,0,0,0
相思創愛,SD,Expert,11,11.4,0,0,0
相思創愛,SD,Master,13,13.5,0,0,0
心象蜃気楼,SD,Basic,5,5,0,0,0
心象蜃気楼,SD,Advanced,7+,7.8,0,0,0
心象蜃気楼,SD,Expert,11,11,0,0,0
光線チューニング,SD,Basic,6,6,0,0,0
光線チューニング,SD,Advanced,8,8,0,0,0
光線チューニング,SD,Expert,11+,11.7,0,0,0
Limit Break,SD,Basic,6,6,0,0,0
Limit Break,SD,Advanced,8,8.3,0,0,0
Limit Break,SD,Expert,11,11.5,0,0,0
Limit Break,SD,Re:MASTER,13+,13.8,0,0,0
曖昧mind,SD,Basic,5,5,0,0,0
曖昧mind,SD,Advanced,8,8.6,0,0,0
曖昧mind,SD,Expert,11+,11.8,0,0,0
曖昧mind,SD,Master,13,13.4,0,0,0
KING is BACK!!,SD,Basic,6,6,0,0,0
KING is BACK!!,SD,Advanced,8+,8.8,0,0,0
KING is BACK!!,SD,Expert,11+,11.9,0,0,0
Ultranova,SD,Basic,6,6,0,0,0
Ultranova,SD,Advanced,8,8.6,0,0,0
Ultranova,SD,Expert,12+,12.9,0,0,0
GET!! 夢&DREAM,SD,Basic,4,4,0,0,0
GET!! 夢&DREAM,SD,Advanced,7+,7.8,0,0,0
GET!! 夢&DREAM,SD,Expert,9+,9.8,0,0,0
GET!! 夢&DREAM,SD,Master,12,12.5,0,0,0
日本の米は世界一,SD,Basic,4,4,0,0,0
日本の米は世界一,SD,Advanced,7,7.5,0,0,0
日本の米は世界一,SD,Expert,10+,10.7,0,0,0
ないせんのうた,SD,Basic,5,5,0,0,0
ないせんのうた,SD,Advanced,6,6.8,0,0,0
ないせんのうた,SD,Expert,10+,10.8,0,0,0
ないせんのうた,SD,Master,12+,12.7,0,0,0
Starlight Dance Floor,SD,Basic,4,4,0,0,0
Starlight Dance Floor,SD,Advanced,7,7.6,0,0,0
Starlight Dance Floor,SD,Expert,10,10.2,0,0,0
Starlight Dance Floor,SD,Master,12,12.5,0,0,0
妖精村の月誕祭 ～Lunate Elf,SD,Basic,4,4,0,0,0
妖精村の月誕祭 ～Lunate Elf,SD,Advanced,7,7.3,0,0,0
妖精村の月誕祭 ～Lunate Elf,SD,Expert,10,10.5,0,0,0
妖精村の月誕祭 ～Lunate Elf,SD,Master,13,13.3,0,0,0
Calamity Fortune,SD,Basic,7,7,0,0,0
Calamity Fortune,SD,Advanced,9,9.3,0,0,0
Calamity Fortune,SD,Master,14,14.2,0,0,0
Justified,SD,Basic,5,5,0,0,0
Justified,SD,Advanced,9,9,0,0,0
Justified,SD,Expert,12+,12.9,0,0,0
Excalibur ～Revived resolution～,SD,Basic,5,5,0,0,0
Excalibur ～Revived resolution～,SD,Advanced,10,10.3,0,0,0
Excalibur ～Revived resolution～,SD,Master,14+,14.8,0,0,0
エイリアンエイリアン,SD,Basic,4,4,0,0,0
エイリアンエイリアン,SD,Advanced,8,8,0,0,0
エイリアンエイリアン,SD,Expert,10,10,0,0,0
エイリアンエイリアン,SD,Master,12+,12.8,0,0,0
My Dearest Song,SD,Basic,5,5,0,0,0
My Dearest Song,SD,Advanced,8,8.3,0,0,0
My Dearest Song,SD,Expert,11+,11.8,0,0,0
猛進ソリストライフ！,SD,Basic,7,7,0,0,0
猛進ソリストライフ！,SD,Advanced,9,9.5,0,0,0
猛進ソリストライフ！,SD,Expert,12,12.6,0,0,0
Let's Go Away,SD,Basic,4,4,0,0,0
Let's Go Away,SD,Advanced,7+,7.8,0,0,0
Let's Go Away,SD,Expert,10+,10.9,0,0,0
Let's Go Away,SD,Master,12+,12.8,0,0,0
真・ハンサム体操でズンドコホイ,SD,Basic,5,5,0,0,0
真・ハンサム体操でズンドコホイ,SD,Advanced,7,7,0,0,0
真・ハンサム体操でズンドコホイ,SD,Expert,10,10.2,0,0,0
フラジール,SD,Basic,5,5,0,0,0
フラジール,SD,Advanced,7+,7.8,0,0,0
フラジール,SD,Expert,9+,9.8,0,0,0
フラジール,SD,Master,12+,12.8,0,0,0
オーディエンスを沸かす程度の能力 feat.タイツォン,SD,Basic,4,4,0,0,0
オーディエンスを沸かす程度の能力 feat.タイツォン,SD,Advanced,8,8,0,0,0
オーディエンスを沸かす程度の能力 feat.タイツォン,SD,Expert,10,10.6,0,0,0
オーディエンスを沸かす程度の能力 feat.タイツォン,SD,Master,13+,13.7,0,0,0
人里に下ったアタイがいつの間にか社畜になっていた件,SD,Basic,5,5,0,0,0
人里に下ったアタイがいつの間にか社畜になっていた件,SD,Advanced,9,9,0,0,0
Moon of Noon,SD,Basic,7,7,0,0,0
Moon of Noon,SD,Advanced,9,9,0,0,0
Moon of Noon,SD,Master,14,14.4,0,0,0
チルノのパーフェクトさんすう教室　⑨周年バージョン,SD,Basic,5,5,0,0,0
チルノのパーフェクトさんすう教室　⑨周年バージョン,SD,Advanced,7+,7.8,0,0,0
チルノのパーフェクトさんすう教室　⑨周年バージョン,SD,Expert,10+,10.8,0,0,0
デスパレイト,SD,Basic,5,5,0,0,0
デスパレイト,SD,Advanced,8,8.6,0,0,0
デスパレイト,SD,Master,13+,13.9,0,0,0
ドーナツホール,SD,Basic,5,5,0,0,0
ドーナツホール,SD,Advanced,7,7.6,0,0,0
ドーナツホール,SD,Expert,11+,11.9,0,0,0
MilK,SD,Basic,5,5,0,0,0
MilK,SD,Advanced,7,7.3,0,0,0
MilK,SD,Expert,12,12.5,0,0,0
咲キ誇レ常世ノ華,SD,Basic,5,5,0,0,0
咲キ誇レ常世ノ華,SD,Advanced,8,8,0,0,0
咲キ誇レ常世ノ華,SD,Expert,11+,11.8,0,0,0
咲キ誇レ常世ノ華,SD,Master,13,13.5,0,0,0
Magical Flavor,SD,Basic,3,3,0,0,0
Magical Flavor,SD,Advanced,8,8.3,0,0,0
Magical Flavor,SD,Expert,10,10.6,0,0,0
Candy Tall Woman,SD,Basic,6,6,0,0,0
Candy Tall Woman,SD,Advanced,7+,7.8,0,0,0
Candy Tall Woman,SD,Expert,11+,11.8,0,0,0
Candy Tall Woman,SD,Master,13+,13.8,0,0,0
Signature,SD,Basic,4,4,0,0,0
Signature,SD,Advanced,8,8.6,0,0,0
Signature,SD,Expert,12,12.4,0,0,0
人生リセットボタン,SD,Basic,6,6,0,0,0
人生リセットボタン,SD,Advanced,8,8.6,0,0,0
人生リセットボタン,SD,Expert,11+,11.9,0,0,0
しねばいいのに,SD,Basic,3,3,0,0,0
しねばいいのに,SD,Advanced,7,7,0,0,0
しねばいいのに,SD,Expert,10,10.2,0,0,0
もうみんなしねばいいのに,SD,Basic,5,5,0,0,0
もうみんなしねばいいのに,SD,Advanced,8,8.1,0,0,0
もうみんなしねばいいのに,SD,Expert,12+,12.7,0,0,0
もうみんなしねばいいのに,SD,Master,14,14,0,0,0
共感覚おばけ,SD,Basic,5,5,0,0,0
共感覚おばけ,SD,Advanced,7,7.2,0,0,0
共感覚おばけ,SD,Expert,10+,10.9,0,0,0
共感覚おばけ,SD,Master,13,13.2,0,0,0
麒麟,SD,Basic,7,7,0,0,0
麒麟,SD,Advanced,9,9.5,0,0,0
Credits,SD,Basic,5,5,0,0,0
Credits,SD,Advanced,9,9,0,0,0
ダンスロボットダンス,SD,Basic,6,6,0,0,0
ダンスロボットダンス,SD,Advanced,8,8,0,0,0
ダンスロボットダンス,SD,Expert,11,11.6,0,0,0
ダンスロボットダンス,SD,Master,13,13.3,0,0,0
アルカリレットウセイ,SD,Basic,6,6,0,0,0
アルカリレットウセイ,SD,Advanced,7,7.3,0,0,0
アルカリレットウセイ,SD,Expert,10+,10.8,0,0,0
アルカリレットウセイ,SD,Master,12+,12.7,0,0,0
ドクハク,SD,Basic,5,5,0,0,0
ドクハク,SD,Advanced,7,7.5,0,0,0
ドクハク,SD,Expert,10,10.6,0,0,0
ドクハク,SD,Master,13,13.4,0,0,0
キレキャリオン,SD,Basic,6,6,0,0,0
キレキャリオン,SD,Advanced,7,7,0,0,0
キレキャリオン,SD,Expert,10,10.4,0,0,0
キレキャリオン,SD,Master,13,13.1,0,0,0
猫祭り,SD,Basic,4,4,0,0,0
猫祭り,SD,Advanced,8,8.5,0,0,0
猫祭り,SD,Expert,11+,11.8,0,0,0
TRUST,SD,Basic,6,6,0,0,0
TRUST,SD,Advanced,7+,7.8,0,0,0
TRUST,SD,Expert,11,11.4,0,0,0
Still,SD,Basic,5,5,0,0,0
Still,SD,Advanced,7,7.6,0,0,0
Still,SD,Expert,11,11.2,0,0,0
天狗の落とし文 feat. ｙｔｒ,SD,Basic,5,5,0,0,0
天狗の落とし文 feat. ｙｔｒ,SD,Advanced,7,7.6,0,0,0
天狗の落とし文 feat. ｙｔｒ,SD,Expert,11+,11.8,0,0,0
天狗の落とし文 feat. ｙｔｒ,SD,Master,12+,12.8,0,0,0
疾走あんさんぶる,SD,Basic,6,6,0,0,0
疾走あんさんぶる,SD,Advanced,8,8.6,0,0,0
疾走あんさんぶる,SD,Expert,11+,11.7,0,0,0
Doll Judgment,SD,Basic,5,5,0,0,0
Doll Judgment,SD,Advanced,8,8.6,0,0,0
Doll Judgment,SD,Expert,12,12.1,0,0,0
WARNING×WARNING×WARNING,SD,Basic,6,6,0,0,0
WARNING×WARNING×WARNING,SD,Advanced,7+,7.8,0,0,0
WARNING×WARNING×WARNING,SD,Expert,10+,10.8,0,0,0
WARNING×WARNING×WARNING,SD,Master,12,12.6,0,0,0
SPILL OVER COLORS,SD,Basic,4,4,0,0,0
SPILL OVER COLORS,SD,Advanced,8,8.5,0,0,0
SPILL OVER COLORS,SD,Expert,11+,11.8,0,0,0
SPILL OVER COLORS,SD,Master,13,13.3,0,0,0
SPILL OVER COLORS,SD,Re:MASTER,13,13.4,0,0,0
Mare Maris,SD,Basic,5,5,0,0,0
Mare Maris,SD,Advanced,9,9.3,0,0,0
シャルル,SD,Basic,5,5,0,0,0
シャルル,SD,Advanced,7,7,0,0,0
シャルル,SD,Expert,9+,9.8,0,0,0
シャルル,SD,Master,12+,12.8,0,0,0
フリィダム ロリィタ,SD,Basic,5,5,0,0,0
フリィダム ロリィタ,SD,Advanced,7,7.3,0,0,0
フリィダム ロリィタ,SD,Expert,10,10,0,0,0
バレリーコ,SD,Basic,5,5,0,0,0
バレリーコ,SD,Advanced,7,7.3,0,0,0
バレリーコ,SD,Expert,10+,10.7,0,0,0
バレリーコ,SD,Master,12,12.6,0,0,0
アウターサイエンス,SD,Basic,5,5,0,0,0
アウターサイエンス,SD,Advanced,8,8,0,0,0
アウターサイエンス,SD,Expert,12+,12.7,0,0,0
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,SD,Basic,5,5,0,0,0
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,SD,Advanced,8,8,0,0,0
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,SD,Expert,10+,10.9,0,0,0
拝啓ドッペルゲンガー,SD,Basic,5,5,0,0,0
拝啓ドッペルゲンガー,SD,Advanced,8,8.5,0,0,0
拝啓ドッペルゲンガー,SD,Expert,12,12.6,0,0,0
ミラクル・ショッピング,SD,Basic,5,5,0,0,0
ミラクル・ショッピング,SD,Advanced,7,7,0,0,0
ミラクル・ショッピング,SD,Expert,10+,10.8,0,0,0
Kinda Way,SD,Basic,4,4,0,0,0
Kinda Way,SD,Advanced,8,8.6,0,0,0
Kinda Way,SD,Expert,11+,11.8,0,0,0
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,SD,Basic,6,6,0,0,0
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,SD,Advanced,8,8.5,0,0,0
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,SD,Expert,11+,11.8,0,0,0
エンドマークに希望と涙を添えて,SD,Basic,6,6,0,0,0
エンドマークに希望と涙を添えて,SD,Advanced,9,9.6,0,0,0
ナンセンス文学,SD,Basic,5,5,0,0,0
ナンセンス文学,SD,Advanced,7+,7.8,0,0,0
ナンセンス文学,SD,Expert,11+,11.7,0,0,0
Bang Babang Bang!!!,SD,Basic,5,5,0,0,0
Bang Babang Bang!!!,SD,Advanced,8,8.5,0,0,0
Bang Babang Bang!!!,SD,Expert,11,11.6,0,0,0
Tic Tac DREAMIN’,SD,Basic,4,4,0,0,0
Tic Tac DREAMIN’,SD,Advanced,7,7.3,0,0,0
Tic Tac DREAMIN’,SD,Expert,9,9.3,0,0,0
Tic Tac DREAMIN’,SD,Master,12,12.1,0,0,0
SPICY SWINGY STYLE,SD,Basic,5,5,0,0,0
SPICY SWINGY STYLE,SD,Advanced,8,8.6,0,0,0
SPICY SWINGY STYLE,SD,Expert,11+,11.8,0,0,0
砂の惑星 feat. HATSUNE MIKU,SD,Basic,2,2,0,0,0
砂の惑星 feat. HATSUNE MIKU,SD,Advanced,7,7.6,0,0,0
砂の惑星 feat. HATSUNE MIKU,SD,Expert,10+,10.7,0,0,0
アンノウン・マザーグース,SD,Basic,3,3,0,0,0
アンノウン・マザーグース,SD,Advanced,7,7.5,0,0,0
アンノウン・マザーグース,SD,Expert,11,11.1,0,0,0
妄想感傷代償連盟,SD,Basic,3,3,0,0,0
妄想感傷代償連盟,SD,Advanced,7,7,0,0,0
妄想感傷代償連盟,SD,Expert,9+,9.8,0,0,0
妄想感傷代償連盟,SD,Master,11,11.4,0,0,0
LOVE EAST,SD,Basic,5,5,0,0,0
LOVE EAST,SD,Advanced,7,7.3,0,0,0
LOVE EAST,SD,Expert,10+,10.8,0,0,0
LOVE EAST,SD,Master,12+,12.8,0,0,0
Fist Bump,SD,Basic,5,5,0,0,0
Fist Bump,SD,Advanced,8,8.5,0,0,0
Fist Bump,SD,Expert,11,11.4,0,0,0
Fist Bump,SD,Master,13,13,0,0,0
ENERGY SYNERGY MATRIX,SD,Basic,6,6,0,0,0
ENERGY SYNERGY MATRIX,SD,Advanced,7+,7.8,0,0,0
Session High⤴,SD,Basic,6,6,0,0,0
Session High⤴,SD,Advanced,7,7.6,0,0,0
Session High⤴,SD,Expert,10,10.6,0,0,0
Session High⤴,SD,Master,12+,12.8,0,0,0
World Vanquisher,SD,Basic,6,6,0,0,0
World Vanquisher,SD,Advanced,9,9.6,0,0,0
FestivaLight,SD,Basic,4,4,0,0,0
FestivaLight,SD,Advanced,8,8,0,0,0
FestivaLight,SD,Expert,10,10.6,0,0,0
Brain Power,SD,Basic,5,5,0,0,0
Brain Power,SD,Advanced,8+,8.7,0,0,0
Brain Power,SD,Expert,11+,11.8,0,0,0
進め！イッスン軍団 -Rebellion of the Dwarfs-,SD,Basic,6,6,0,0,0
進め！イッスン軍団 -Rebellion of the Dwarfs-,SD,Advanced,8,8.5,0,0,0
進め！イッスン軍団 -Rebellion of the Dwarfs-,SD,Expert,11,11.3,0,0,0
ULTRA B+K,SD,Basic,6,6,0,0,0
ULTRA B+K,SD,Advanced,8,8.6,0,0,0
インビジブル,SD,Basic,6,6,0,0,0
インビジブル,SD,Advanced,8,8,0,0,0
インビジブル,SD,Expert,11,11.5,0,0,0
インビジブル,SD,Master,12,12.3,0,0,0
インビジブル,SD,Re:MASTER,13+,13.7,0,0,0
彗星ハネムーン,SD,Basic,4,4,0,0,0
彗星ハネムーン,SD,Advanced,7,7.3,0,0,0
彗星ハネムーン,SD,Expert,10,10.5,0,0,0
keep hopping,SD,Basic,6,6,0,0,0
keep hopping,SD,Advanced,8,8.6,0,0,0
keep hopping,SD,Expert,12,12.5,0,0,0
larva,SD,Basic,7,7,0,0,0
larva,SD,Advanced,9,9.3,0,0,0
larva,SD,Master,14+,14.8,0,0,0
初音ミクの激唱,SD,Basic,7,7,0,0,0
初音ミクの激唱,SD,Advanced,8+,8.8,0,0,0
初音ミクの激唱,SD,Master,14,14.4,0,0,0
true my heart -Lovable mix-,SD,Basic,4,4,0,0,0
true my heart -Lovable mix-,SD,Advanced,7,7,0,0,0
true my heart -Lovable mix-,SD,Expert,10,10.3,0,0,0
true my heart -Lovable mix-,SD,Master,12,12.5,0,0,0
Rodeo Machine,SD,Basic,3,3,0,0,0
Rodeo Machine,SD,Advanced,7,7.3,0,0,0
Rodeo Machine,SD,Expert,11,11.1,0,0,0
Rodeo Machine,SD,Master,13+,13.7,0,0,0
CYBER Sparks,SD,Basic,4,4,0,0,0
CYBER Sparks,SD,Advanced,7+,7.8,0,0,0
Xevel,SD,Basic,5,5,0,0,0
Xevel,SD,Advanced,8+,8.8,0,0,0
INFINITE WORLD,SD,Basic,5,5,0,0,0
INFINITE WORLD,SD,Advanced,8,8.2,0,0,0
INFINITE WORLD,SD,Expert,10+,10.8,0,0,0
INFINITE WORLD,SD,Master,12,12.6,0,0,0
サドマミホリック,SD,Basic,6,6,0,0,0
サドマミホリック,SD,Advanced,8,8.6,0,0,0
サドマミホリック,SD,Expert,11,11.6,0,0,0
Ragnarok,SD,Basic,7,7,0,0,0
Ragnarok,SD,Advanced,9,9.3,0,0,0
Ragnarok,SD,Master,14,14.1,0,0,0
このピアノでお前を8759632145回ぶん殴る,SD,Basic,4,4,0,0,0
このピアノでお前を8759632145回ぶん殴る,SD,Advanced,8,8.3,0,0,0
このピアノでお前を8759632145回ぶん殴る,SD,Expert,11,11.2,0,0,0
このピアノでお前を8759632145回ぶん殴る,SD,Master,13,13.4,0,0,0
はやくそれになりたい！,SD,Basic,6,6,0,0,0
はやくそれになりたい！,SD,Advanced,8,8,0,0,0
はやくそれになりたい！,SD,Expert,10+,10.8,0,0,0
はやくそれになりたい！,SD,Master,11+,11.8,0,0,0
はやくそれになりたい！,SD,Re:MASTER,13,13.2,0,0,0
フィクサー,SD,Basic,4,4,0,0,0
フィクサー,SD,Advanced,7,7.6,0,0,0
フィクサー,SD,Expert,10,10.3,0,0,0
みんなの,SD,Basic,5,5,0,0,0
みんなの,SD,Advanced,7,7.6,0,0,0
みんなの,SD,Expert,10,10,0,0,0
みんなの,SD,Master,12,12.5,0,0,0
アマノジャクリバース feat. ｙｔｒ,SD,Basic,5,5,0,0,0
アマノジャクリバース feat. ｙｔｒ,SD,Advanced,8,8,0,0,0
アマノジャクリバース feat. ｙｔｒ,SD,Expert,11,11.4,0,0,0
アマノジャクリバース feat. ｙｔｒ,SD,Master,13+,13.9,0,0,0
進捗どうですか？,SD,Basic,6,6,0,0,0
進捗どうですか？,SD,Advanced,8,8.6,0,0,0
進捗どうですか？,SD,Expert,11,11,0,0,0
"Help me, あーりん！",SD,Basic,5,5,0,0,0
"Help me, あーりん！",SD,Advanced,7+,7.8,0,0,0
"Help me, あーりん！",SD,Expert,10+,10.7,0,0,0
"Help me, あーりん！",SD,Master,12,12.6,0,0,0
なるとなぎのパーフェクトロックンロール教室,SD,Basic,6,6,0,0,0
なるとなぎのパーフェクトロックンロール教室,SD,Advanced,7+,7.8,0,0,0
なるとなぎのパーフェクトロックンロール教室,SD,Expert,11,11.1,0,0,0
あねぺったん,SD,Basic,5,5,0,0,0
あねぺったん,SD,Advanced,8,8.2,0,0,0
あねぺったん,SD,Expert,10+,10.8,0,0,0
We Gonna Journey,SD,Basic,7,7,0,0,0
We Gonna Journey,SD,Advanced,9,9.1,0,0,0
We Gonna Journey,SD,Expert,12+,12.7,0,0,0
FREEDOM DiVE (tpz Overcute Remix),SD,Basic,7,7,0,0,0
FREEDOM DiVE (tpz Overcute Remix),SD,Advanced,9,9.5,0,0,0
SILENT BLUE,SD,Basic,6,6,0,0,0
SILENT BLUE,SD,Advanced,8+,8.8,0,0,0
SILENT BLUE,SD,Master,14+,14.8,0,0,0
ジンギスカン,SD,Basic,4,4,0,0,0
ジンギスカン,SD,Advanced,7,7.6,0,0,0
ジンギスカン,SD,Expert,10,10.5,0,0,0
ジンギスカン,SD,Master,13,13.3,0,0,0
にじよめちゃん体操第一億,SD,Basic,4,4,0,0,0
にじよめちゃん体操第一億,SD,Advanced,7,7,0,0,0
にじよめちゃん体操第一億,SD,Expert,9,9.4,0,0,0
花と、雪と、ドラムンベース。,SD,Basic,6,6,0,0,0
花と、雪と、ドラムンベース。,SD,Advanced,8+,8.8,0,0,0
花と、雪と、ドラムンベース。,SD,Expert,12+,12.7,0,0,0
Conquista Ciela,SD,Basic,4,4,0,0,0
Conquista Ciela,SD,Advanced,7,7.6,0,0,0
Conquista Ciela,SD,Expert,9+,9.8,0,0,0
Conquista Ciela,SD,Master,12+,12.7,0,0,0
怒槌,SD,Basic,7,7,0,0,0
怒槌,SD,Advanced,9,9.6,0,0,0
怒槌,SD,Master,14+,14.8,0,0,0
Seyana. ～何でも言うことを聞いてくれるアカネチャン～,SD,Basic,4,4,0,0,0
Seyana. ～何でも言うことを聞いてくれるアカネチャン～,SD,Advanced,7,7.6,0,0,0
Seyana. ～何でも言うことを聞いてくれるアカネチャン～,SD,Expert,10+,10.7,0,0,0
